"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1500000US150010201001","Block Group 1; Census Tract 201; Hawaii County; Hawaii","2056","475",
"1500000US150010201002","Block Group 2; Census Tract 201; Hawaii County; Hawaii","483","148",
"1500000US150010201003","Block Group 3; Census Tract 201; Hawaii County; Hawaii","1390","341",
"1500000US150010201004","Block Group 4; Census Tract 201; Hawaii County; Hawaii","1366","352",
"1500000US150010202021","Block Group 1; Census Tract 202.02; Hawaii County; Hawaii","1218","343",
"1500000US150010202022","Block Group 2; Census Tract 202.02; Hawaii County; Hawaii","967","166",
"1500000US150010203001","Block Group 1; Census Tract 203; Hawaii County; Hawaii","1677","324",
"1500000US150010203002","Block Group 2; Census Tract 203; Hawaii County; Hawaii","1032","437",
"1500000US150010203003","Block Group 3; Census Tract 203; Hawaii County; Hawaii","1947","512",
"1500000US150010204001","Block Group 1; Census Tract 204; Hawaii County; Hawaii","902","365",
"1500000US150010204002","Block Group 2; Census Tract 204; Hawaii County; Hawaii","1110","533",
"1500000US150010204003","Block Group 3; Census Tract 204; Hawaii County; Hawaii","1247","263",
"1500000US150010205001","Block Group 1; Census Tract 205; Hawaii County; Hawaii","1249","672",
"1500000US150010205002","Block Group 2; Census Tract 205; Hawaii County; Hawaii","1495","694",
"1500000US150010205003","Block Group 3; Census Tract 205; Hawaii County; Hawaii","1840","771",
"1500000US150010205004","Block Group 4; Census Tract 205; Hawaii County; Hawaii","1983","763",
"1500000US150010206001","Block Group 1; Census Tract 206; Hawaii County; Hawaii","680","155",
"1500000US150010206002","Block Group 2; Census Tract 206; Hawaii County; Hawaii","866","199",
"1500000US150010206003","Block Group 3; Census Tract 206; Hawaii County; Hawaii","2015","285",
"1500000US150010206004","Block Group 4; Census Tract 206; Hawaii County; Hawaii","3492","644",
"1500000US150010207011","Block Group 1; Census Tract 207.01; Hawaii County; Hawaii","1994","641",
"1500000US150010207012","Block Group 2; Census Tract 207.01; Hawaii County; Hawaii","1596","541",
"1500000US150010207013","Block Group 3; Census Tract 207.01; Hawaii County; Hawaii","1610","604",
"1500000US150010207021","Block Group 1; Census Tract 207.02; Hawaii County; Hawaii","1535","444",
"1500000US150010207022","Block Group 2; Census Tract 207.02; Hawaii County; Hawaii","2190","466",
"1500000US150010207023","Block Group 3; Census Tract 207.02; Hawaii County; Hawaii","1171","434",
"1500000US150010208011","Block Group 1; Census Tract 208.01; Hawaii County; Hawaii","1692","336",
"1500000US150010208012","Block Group 2; Census Tract 208.01; Hawaii County; Hawaii","2304","384",
